2021/01/17(Ultima actualización / Azken eguneratzea);
Osasun-eremuaren kodea / Código zona de salud;Osasun-eremuak/Zonas de salud;Positiboak/Positivos;TISak guztira/Total de TIS;Tasa 100.000 biztanleko/Tasa por 100.000 habitantes;Hildakoak/Fallecidos;Hilkortasuna/Mortalidad;
2501;ABADIÑO-ELORRIO-BERRIZ;1173;24151;4856,9;23;2,0;
2101;ABANTO-MUSKIZ;965;17011;5672,8;22;2,3;
1101;ABETXUKO;234;3815;6133,7;15;6,4;
2502;AIALA;719;19201;3744,6;14;1,9;
2401;ALANGO;964;19656;4904,4;28;2,9;
3401;ALEGIA;506;6717;7533,1;8;1,6;
2402;ALGORTA;1572;33171;4739,1;32;2,0;
3501;ALZA-ROTETA;972;19631;4951,4;40;4,1;
3502;AMARA BERRI;1921;35116;5470,4;37;1,9;
3503;AMARA CENTRO;1122;16502;6799,2;32;2,9;
2503;AMOREBIETA;1146;19886;5762,8;29;2,5;
3402;ANDOAIN;836;15384;5434,2;16;1,9;
1102;ARANBIZKARRA I;890;15119;5886,6;25;2,8;
1103;ARANBIZKARRA II;698;12344;5654,6;18;2,6;
3201;ARRASATE;2256;25128;8978,0;73;3,2;
2504;ARRATIA;544;13739;3959,5;8;1,5;
2505;ARRIGORRIAGA;831;15842;5245,5;26;3,1;
2403;ASTRABUDUA;528;10478;5039,1;13;2,5;
3301;AZKOITIA;873;11990;7281,1;7;0,8;
3302;AZPEITIA;1321;16700;7910,2;6;0,5;
2102;BALMASEDA;601;11762;5109,7;33;5,5;
2507;BASAURI-ARIZ;1418;26619;5327,0;66;4,7;
2506;BASAURI-KAREAGA;718;15317;4687,6;26;3,6;
2301;BASURTO;1274;21232;6000,4;38;3,0;
3303;BEASAIN;1369;22656;6042,5;25;1,8;
2302;BEGOÑA;624;13058;4778,7;13;2,1;
3504;BERAUN-ERRENTERIA;755;15214;4962,5;12;1,6;
3202;BERGARA;1260;18127;6951,0;36;2,9;
2508;BERMEO;883;19118;4618,7;30;3,4;
3505;BIDEBIETA;361;7201;5013,2;7;1,9;
2304;BOLUETA-SAGARMINAGA;574;9729;5899,9;7;1,2;
2305;BOMBERO ETXANIZ;3170;38241;8289,5;77;2,4;
2306;CASCO VIEJO (BILBAO);968;13144;7364,6;51;5,3;
1105;CASCO VIEJO (VITORIA-GASTEIZ);1208;18368;6576,7;43;3,6;
3101;DEBA;695;10738;6472,3;12;1,7;
2307;DEUSTO;1542;25838;5968,0;30;1,9;
3602;DUMBOA;1192;30207;3946,1;16;1,3;
2509;DURANGO;1954;34969;5587,8;30;1,5;
3506;EGIA;835;14824;5632,8;17;2,0;
3102;EIBAR;1672;19508;8570,8;40;2,4;
3103;ELGOIBAR;1118;18190;6146,2;13;1,2;
2404;ERANDIO;906;14087;6431,5;20;2,2;
3104;ERMUA;1384;17235;8030,2;36;2,6;
2510;ETXEBARRI;508;10749;4726,0;12;2,4;
2511;GALDAKAO;1471;31521;4666,7;43;2,9;
1108;GAZALBIDE-TXAGORRITXU;979;15612;6270,8;48;4,9;
2322;GAZTELEKU;1144;20964;5457,0;29;2,5;
2512;GERNIKA;889;18854;4715,2;9;1,0;
2513;GERNIKALDEA;393;7568;5192,9;13;3,3;
2405;GORLIZ-PLENTZIA;550;12180;4515,6;12;2,2;
3507;GROS;1770;29698;5960,0;73;4,1;
3508;HERNANI-URNIETA-ASTIGARRAGA;2001;34639;5776,7;23;1,1;
3601;HONDARRIBIA;662;17896;3699,2;5;0,8;
3403;IBARRA;511;7853;6507,1;11;2,2;
2308;INDAUTXU;1202;21369;5625,0;49;4,1;
3509;INTXAURRONDO;621;11423;5436,4;18;2,9;
3603;IRÚN-CENTRO;1705;38276;4454,5;28;1,6;
3510;IZTIETA-ERRENTERIA;1283;26131;4909,9;37;2,9;
2309;JAVIER SÁENZ DE BURUAGA;726;14067;5161,0;21;2,9;
2317;KARMELO;661;10985;6017,3;25;3,8;
2201;KUETO;540;10230;5278,6;25;4,6;
1106;LA HABANA;715;12057;5930,2;27;3,8;
2319;LA MERCED/MIRIBILLA;1488;19547;7612,4;48;3,2;
2202;LA PAZ;1076;22075;4874,3;14;1,3;
2311;LA PEÑA;624;10188;6124,9;8;1,3;
1109;LAKUA-ARRIAGA;850;15432;5508,0;13;1,5;
1113;LAKUABIZKARRA;1906;29359;6492,0;24;1,3;
2406;LAS ARENAS;1604;34009;4716,4;35;2,2;
3511;LASARTE-USURBIL;1266;26580;4763,0;19;1,5;
3304;LAZKAO;433;8574;5050,2;11;2,5;
3305;LEGAZPI;388;8763;4427,7;7;1,8;
2407;LEIOA;1149;24979;4599,9;23;2,0;
2514;LEKEITIO;514;10000;5140,0;10;1,9;
3512;LEZO-SAN JUAN;465;8554;5436,1;14;3,0;
1116;LLANADA ALAVESA;664;12122;5477,6;25;3,8;
2515;LLODIO;718;23120;3105,5;16;2,2;
3513;LOIOLA;361;7324;4929,0;6;1,7;
2203;LUTXANA;397;7426;5346,1;12;3,0;
2516;MARKINA-XEMEIN;471;6473;7276,4;6;1,3;
2204;MARKONZAGA;928;17630;5263,8;30;3,2;
2312;MINA DEL MORRO;778;11148;6978,8;36;4,6;
2310;MIRIBILLA/LA MERCED;1488;19547;7612,4;48;3,2;
1117;MONTAÑA ALAVESA;76;2224;3417,3;2;2,6;
2408;MUNGIA;1357;26997;5026,5;30;2,2;
1118;NORTE-LEGUTIO;232;4308;5385,3;9;3,9;
1119;NORTE-ZUIA;343;5535;6196,9;21;6,1;
3514;OIARTZUN;343;10559;3248,4;5;1,5;
1107;OLAGUIBEL;2293;34160;6712,5;80;3,5;
1110;OLARIZU;896;16480;5436,9;26;2,9;
3515;ONDARRETA;1861;36542;5092,8;51;2,7;
2517;ONDARROA;514;9563;5374,9;12;2,3;
3203;OÑATI;619;11785;5252,4;13;2,1;
3306;ORDIZIA;1084;14142;7665,1;40;3,7;
2103;ORTUELLA;386;8482;4550,8;5;1,3;
2313;OTXARKOAGA;587;11327;5182,3;17;2,9;
3516;PARTE VIEJA;778;13832;5624,6;14;1,8;
3517;PASAIA ANTXO;461;6747;6832,7;7;1,5;
3518;PASAIA SAN PEDRO;497;10618;4680,7;7;1,4;
2105;PORTUGALETE-BUENAVISTA;650;13142;4946,0;8;1,2;
2104;PORTUGALETE-CASTAÑOS;730;16869;4327,5;16;2,2;
2106;PORTUGALETE-REPELEGA;836;19816;4218,8;13;1,6;
2314;REKALDE;2042;28145;7255,3;49;2,4;
1201;RIOJA ALAVESA;577;10935;5276,6;16;2,8;
2205;RONTEGI;719;11358;6330,3;14;1,9;
1111;SALBURUA;984;16706;5890,1;15;1,5;
2315;SAN ADRIÁN;722;10067;7171,9;24;3,3;
2316;SAN IGNACIO;1420;24706;5747,6;47;3,3;
1104;SAN MARTÍN;2074;32688;6344,8;90;4,3;
2206;SAN VICENTE;1217;19996;6086,2;64;5,3;
1112;SANSOMENDI;590;9308;6338,6;18;3,1;
2107;SANTURTZI-CENTRO-MAMARIGA;901;18244;4938,6;18;2,0;
2108;SANTURTZI-KABIEZES;1464;25745;5686,5;40;2,7;
2318;SANTUTXU-SOLOKOETXE;996;16299;6110,8;17;1,7;
2109;SODUPE-GÜEÑES;371;8204;4522,2;7;1,9;
2409;SOPELANA;1140;25766;4424,4;15;1,3;
3404;TOLOSA;1240;20800;5961,5;34;2,7;
3105;TORREKUA;762;9801;7774,7;27;3,5;
2110;TRAPAGARAN;607;11931;5087,6;13;2,1;
2410;TXORIERRI;969;18906;5125,4;30;3,1;
2320;TXURDINAGA;1129;14653;7704,9;61;5,4;
2207;URBAN;598;9725;6149,1;10;1,7;
3204;VALLE DE LENIZ;675;11461;5889,5;21;3,1;
1120;VALLES ALAVESES I;266;4716;5640,4;2;0,8;
1121;VALLES ALAVESES II;151;2415;6252,6;4;2,6;
3405;VILLABONA;918;15964;5750,4;11;1,2;
1114;ZABALGANA;1376;24528;5609,9;9;0,7;
2208;ZABALLA;812;13042;6226,0;17;2,1;
2111;ZALLA;558;11741;4752,6;20;3,6;
